Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Faculty/Imports/svg_Dr PC Senthil Mahesh_svg-inline--fa fa-_fb601b""))",Chrome 87.0.4280.141,,,2021-03-08 18:16:50,2021-03-08 18:16:52,1.392s,PASSED
"click(findTestObject(""Faculty/Imports/div_Role ()AdminFacultyHOD""))",Chrome 87.0.4280.141,,,2021-03-08 18:16:52,2021-03-08 18:16:52,0.935s,PASSED
"click(findTestObject(""Faculty/Imports/svg_Dr PC Senthil Mahesh_svg-inline--fa fa-_fb601b""))",Chrome 87.0.4280.141,,,2021-03-08 18:16:52,2021-03-08 18:16:53,0.888s,PASSED
"click(findTestObject(""Object Repository/Faculty/Notifications/a_Faculty""))",Chrome 87.0.4280.141,,,2021-03-08 18:16:53,2021-03-08 18:16:54,0.970s,PASSED
"click(findTestObject(""Object Repository/Faculty/Notifications/img""))",Chrome 87.0.4280.141,,,2021-03-08 18:16:54,2021-03-08 18:16:55,1.082s,PASSED
"click(findTestObject(""Object Repository/Faculty/Notifications/button_View Incoming Requests""))",Chrome 87.0.4280.141,,,2021-03-08 18:16:55,2021-03-08 18:16:57,1.178s,PASSED
delay(1),Chrome 87.0.4280.141,,,2021-03-08 18:16:57,2021-03-08 18:16:58,1.007s,PASSED
takeScreenshot(),Chrome 87.0.4280.141,,,2021-03-08 18:16:58,2021-03-08 18:16:58,0.625s,PASSED
"click(findTestObject(""Object Repository/Faculty/Notifications/button_View Outgoing Requests""))",Chrome 87.0.4280.141,,,2021-03-08 18:16:58,2021-03-08 18:16:59,0.844s,PASSED
delay(1),Chrome 87.0.4280.141,,,2021-03-08 18:16:59,2021-03-08 18:17:00,1.007s,PASSED
takeScreenshot(),Chrome 87.0.4280.141,,,2021-03-08 18:17:00,2021-03-08 18:17:01,0.623s,PASSED
"click(findTestObject(""Object Repository/Faculty/Notifications/svg_Dr. P.C. Senthil Mahesh_svg-inline--fa _bc1b97""))",Chrome 87.0.4280.141,,,2021-03-08 18:17:01,2021-03-08 18:17:02,0.866s,PASSED
"click(findTestObject(""Object Repository/Faculty/Notifications/button_logout""))",Chrome 87.0.4280.141,,,2021-03-08 18:17:02,2021-03-08 18:17:03,1.004s,PASSED
closeBrowser(),Chrome 87.0.4280.141,,,2021-03-08 18:17:03,2021-03-08 18:17:03,0.712s,PASSED
,,,,,,,
Test Cases/Web/Faculty/Profile,Chrome 87.0.4280.141,Faculty Profile,Profile,2021-03-08 18:17:03,2021-03-08 18:17:44,40.815s,PASSED
"openBrowser("""")",Chrome 87.0.4280.141,,,2021-03-08 18:17:04,2021-03-08 18:17:05,1.280s,PASSED
"navigateToUrl(""https://oecfrontend.vercel.app/"")",Chrome 87.0.4280.141,,,2021-03-08 18:17:05,2021-03-08 18:17:06,1.482s,PASSED
"setText(findTestObject(""Object Repository/Faculty/Profile/input_Faculty Login_username""), ""AITS051002"")",Chrome 87.0.4280.141,,,2021-03-08 18:17:06,2021-03-08 18:17:08,1.608s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Faculty/Profile/input_Faculty Login_password""), ""/HuGEUzXDLUt1zEZ6TwafQ=="")",Chrome 87.0.4280.141,,,2021-03-08 18:17:08,2021-03-08 18:17:09,1.284s,PASSED
"click(findTestObject(""Object Repository/Faculty/Profile/button_Login""))",Chrome 87.0.4280.141,,,2021-03-08 18:17:09,2021-03-08 18:17:10,0.799s,PASSED
"click(findTestObject(""Object Repository/Faculty/Profile/svg_Dr. P.C. Senthil Mahesh_svg-inline--fa _bc1b97""))",Chrome 87.0.4280.141,,,2021-03-08 18:17:10,2021-03-08 18:17:11,1.236s,PASSED
"click(findTestObject(""Object Repository/Faculty/Profile/div_Role ()AdminFacultyHOD""))",Chrome 87.0.4280.141,,,2021-03-08 18:17:11,2021-03-08 18:17:12,0.946s,PASSED
"click(findTestObject(""Object Repository/Faculty/Profile/svg_Dr. P.C. Senthil Mahesh_svg-inline--fa _bc1b97""))",Chrome 87.0.4280.141,,,2021-03-08 18:17:12,2021-03-08 18:17:13,0.933s,PASSED
"click(findTestObject(""Object Repository/Faculty/Profile/a_Faculty""))",Chrome 87.0.4280.141,,,2021-03-08 18:17:13,2021-03-08 18:17:14,0.995s,PASSED
"click(findTestObject(""Object Repository/Faculty/Profile/img""))",Chrome 87.0.4280.141,,,2021-03-08 18:17:14,2021-03-08 18:17:15,1.136s,PASSED
"click(findTestObject(""Object Repository/Faculty/Profile/button_Change Profile Information""))",Chrome 87.0.4280.141,,,2021-03-08 18:17:15,2021-03-08 18:17:17,1.911s,PASSED
