Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Faculty E2E,Chrome 87.0.4280.141,Faculty Test Suite End to End,,2021-03-08 18:09:32,2021-03-08 18:13:19,3m - 46.388s,FAILED
,,,,,,,
Test Cases/Web/Faculty/Imports,Chrome 87.0.4280.141,Faculty Imports,"Faculty, Imports",2021-03-08 18:09:34,2021-03-08 18:10:08,34.367s,PASSED
"openBrowser("""")",Chrome 87.0.4280.141,,,2021-03-08 18:09:34,2021-03-08 18:09:36,2.205s,PASSED
"navigateToUrl(""https://oecfrontend.vercel.app/"")",Chrome 87.0.4280.141,,,2021-03-08 18:09:36,2021-03-08 18:09:38,1.125s,PASSED
"setText(findTestObject(""Faculty/Imports/input_Faculty Login_username""), ""AITS051002"")",Chrome 87.0.4280.141,,,2021-03-08 18:09:38,2021-03-08 18:09:39,1.662s,PASSED
"setEncryptedText(findTestObject(""Faculty/Imports/input_Faculty Login_password""), ""/HuGEUzXDLUt1zEZ6TwafQ=="")",Chrome 87.0.4280.141,,,2021-03-08 18:09:39,2021-03-08 18:09:41,1.362s,PASSED
"click(findTestObject(""Faculty/Imports/button_Login""))",Chrome 87.0.4280.141,,,2021-03-08 18:09:41,2021-03-08 18:09:41,0.834s,PASSED
"click(findTestObject(""Faculty/Imports/svg_Dr PC Senthil Mahesh_svg-inline--fa fa-_fb601b""))",Chrome 87.0.4280.141,,,2021-03-08 18:09:41,2021-03-08 18:09:43,1.475s,PASSED
"click(findTestObject(""Faculty/Imports/div_Role ()AdminFacultyHOD""))",Chrome 87.0.4280.141,,,2021-03-08 18:09:43,2021-03-08 18:09:44,0.948s,PASSED
"click(findTestObject(""Faculty/Imports/svg_Dr PC Senthil Mahesh_svg-inline--fa fa-_fb601b""))",Chrome 87.0.4280.141,,,2021-03-08 18:09:44,2021-03-08 18:09:45,0.918s,PASSED
"click(findTestObject(""Faculty/Imports/a_Faculty""))",Chrome 87.0.4280.141,,,2021-03-08 18:09:45,2021-03-08 18:09:46,0.966s,PASSED
delay(2),Chrome 87.0.4280.141,,,2021-03-08 18:09:46,2021-03-08 18:09:48,2.055s,PASSED
"click(findTestObject(""Faculty/Imports/Imports""))",Chrome 87.0.4280.141,,,2021-03-08 18:09:48,2021-03-08 18:09:49,0.819s,PASSED
takeScreenshot(),Chrome 87.0.4280.141,,,2021-03-08 18:09:49,2021-03-08 18:09:49,0.897s,PASSED
"click(findTestObject(""Faculty/Imports/img_1""))",Chrome 87.0.4280.141,,,2021-03-08 18:09:49,2021-03-08 18:09:50,0.876s,PASSED
"focus(findTestObject(""Faculty/Imports/Course_obj""))",Chrome 87.0.4280.141,,,2021-03-08 18:09:50,2021-03-08 18:09:51,0.649s,PASSED
delay(2),Chrome 87.0.4280.141,,,2021-03-08 18:09:51,2021-03-08 18:09:53,2.021s,PASSED
takeScreenshot(),Chrome 87.0.4280.141,,,2021-03-08 18:09:53,2021-03-08 18:09:54,0.612s,PASSED
"click(findTestObject(""Faculty/Imports/cousrse_obj_close""))",Chrome 87.0.4280.141,,,2021-03-08 18:09:54,2021-03-08 18:09:55,0.859s,PASSED
"click(findTestObject(""Faculty/Imports/course_outcome""))",Chrome 87.0.4280.141,,,2021-03-08 18:09:55,2021-03-08 18:09:55,0.948s,PASSED
"focus(findTestObject(""Faculty/Imports/course_outcome_close""))",Chrome 87.0.4280.141,,,2021-03-08 18:09:55,2021-03-08 18:09:56,0.616s,PASSED
delay(2),Chrome 87.0.4280.141,,,2021-03-08 18:09:56,2021-03-08 18:09:58,2.018s,PASSED
