Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Faculty E2E,Chrome 87.0.4280.141,Faculty Test Suite End to End,,2021-03-08 19:06:26,2021-03-08 19:10:21,3m - 54.402s,PASSED
,,,,,,,
Test Cases/Web/Faculty/Imports,Chrome 87.0.4280.141,Faculty Imports,"Faculty, Imports",2021-03-08 19:06:28,2021-03-08 19:07:04,35.928s,PASSED
"openBrowser("""")",Chrome 87.0.4280.141,,,2021-03-08 19:06:28,2021-03-08 19:06:31,2.502s,PASSED
"navigateToUrl(""https://oecfrontend.vercel.app/"")",Chrome 87.0.4280.141,,,2021-03-08 19:06:31,2021-03-08 19:06:32,1.543s,PASSED
"setText(findTestObject(""Faculty/Imports/input_Faculty Login_username""), ""AITS051002"")",Chrome 87.0.4280.141,,,2021-03-08 19:06:32,2021-03-08 19:06:34,1.804s,PASSED
"setEncryptedText(findTestObject(""Faculty/Imports/input_Faculty Login_password""), ""/HuGEUzXDLUt1zEZ6TwafQ=="")",Chrome 87.0.4280.141,,,2021-03-08 19:06:34,2021-03-08 19:06:35,1.389s,PASSED
"click(findTestObject(""Faculty/Imports/button_Login""))",Chrome 87.0.4280.141,,,2021-03-08 19:06:35,2021-03-08 19:06:36,0.852s,PASSED
"click(findTestObject(""Faculty/Imports/svg_Dr PC Senthil Mahesh_svg-inline--fa fa-_fb601b""))",Chrome 87.0.4280.141,,,2021-03-08 19:06:36,2021-03-08 19:06:38,2.023s,PASSED
"click(findTestObject(""Faculty/Imports/div_Role ()AdminFacultyHOD""))",Chrome 87.0.4280.141,,,2021-03-08 19:06:38,2021-03-08 19:06:39,0.945s,PASSED
"click(findTestObject(""Faculty/Imports/svg_Dr PC Senthil Mahesh_svg-inline--fa fa-_fb601b""))",Chrome 87.0.4280.141,,,2021-03-08 19:06:39,2021-03-08 19:06:40,0.923s,PASSED
"click(findTestObject(""Faculty/Imports/a_Faculty""))",Chrome 87.0.4280.141,,,2021-03-08 19:06:40,2021-03-08 19:06:41,0.972s,PASSED
delay(2),Chrome 87.0.4280.141,,,2021-03-08 19:06:41,2021-03-08 19:06:43,2.067s,PASSED
"click(findTestObject(""Faculty/Imports/Imports""))",Chrome 87.0.4280.141,,,2021-03-08 19:06:43,2021-03-08 19:06:44,0.888s,PASSED
takeScreenshot(),Chrome 87.0.4280.141,,,2021-03-08 19:06:44,2021-03-08 19:06:45,0.865s,PASSED
"click(findTestObject(""Faculty/Imports/img_1""))",Chrome 87.0.4280.141,,,2021-03-08 19:06:45,2021-03-08 19:06:46,0.839s,PASSED
"focus(findTestObject(""Faculty/Imports/Course_obj""))",Chrome 87.0.4280.141,,,2021-03-08 19:06:46,2021-03-08 19:06:46,0.624s,PASSED
delay(2),Chrome 87.0.4280.141,,,2021-03-08 19:06:46,2021-03-08 19:06:48,2.014s,PASSED
takeScreenshot(),Chrome 87.0.4280.141,,,2021-03-08 19:06:48,2021-03-08 19:06:49,0.590s,PASSED
"click(findTestObject(""Faculty/Imports/cousrse_obj_close""))",Chrome 87.0.4280.141,,,2021-03-08 19:06:49,2021-03-08 19:06:50,0.819s,PASSED
"click(findTestObject(""Faculty/Imports/course_outcome""))",Chrome 87.0.4280.141,,,2021-03-08 19:06:50,2021-03-08 19:06:51,0.935s,PASSED
"focus(findTestObject(""Faculty/Imports/course_outcome_close""))",Chrome 87.0.4280.141,,,2021-03-08 19:06:51,2021-03-08 19:06:51,0.591s,PASSED
delay(2),Chrome 87.0.4280.141,,,2021-03-08 19:06:51,2021-03-08 19:06:53,2.015s,PASSED
takeScreenshot(),Chrome 87.0.4280.141,,,2021-03-08 19:06:53,2021-03-08 19:06:54,0.621s,PASSED
"click(findTestObject(""Faculty/Imports/course_outcome_close""))",Chrome 87.0.4280.141,,,2021-03-08 19:06:54,2021-03-08 19:06:55,0.822s,PASSED
"click(findTestObject(""Faculty/Imports/subject_exp""))",Chrome 87.0.4280.141,,,2021-03-08 19:06:55,2021-03-08 19:06:56,0.964s,PASSED
"focus(findTestObject(""Faculty/Imports/subject_exp_close""))",Chrome 87.0.4280.141,,,2021-03-08 19:06:56,2021-03-08 19:06:56,0.592s,PASSED
delay(2),Chrome 87.0.4280.141,,,2021-03-08 19:06:56,2021-03-08 19:06:58,2.011s,PASSED
takeScreenshot(),Chrome 87.0.4280.141,,,2021-03-08 19:06:58,2021-03-08 19:06:59,0.591s,PASSED
"click(findTestObject(""Faculty/Imports/subject_exp_close""))",Chrome 87.0.4280.141,,,2021-03-08 19:06:59,2021-03-08 19:07:00,0.817s,PASSED
"click(findTestObject(""Faculty/Imports/a_Dashboard""))",Chrome 87.0.4280.141,,,2021-03-08 19:07:00,2021-03-08 19:07:01,0.955s,PASSED
"click(findTestObject(""Faculty/Imports/svg_Dr PC Senthil Mahesh_svg-inline--fa fa-_fb601b""))",Chrome 87.0.4280.141,,,2021-03-08 19:07:01,2021-03-08 19:07:02,0.993s,PASSED
"click(findTestObject(""Faculty/Imports/button_logout""))",Chrome 87.0.4280.141,,,2021-03-08 19:07:02,2021-03-08 19:07:03,0.968s,PASSED
closeBrowser(),Chrome 87.0.4280.141,,,2021-03-08 19:07:03,2021-03-08 19:07:04,0.774s,PASSED
,,,,,,,
Test Cases/Web/Faculty/Notifications,Chrome 87.0.4280.141,Notifications,"Notifications, Faculty",2021-03-08 19:07:04,2021-03-08 19:07:25,21.014s,PASSED
"openBrowser("""")",Chrome 87.0.4280.141,,,2021-03-08 19:07:04,2021-03-08 19:07:06,2.037s,PASSED
"navigateToUrl(""https://oecfrontend.vercel.app/"")",Chrome 87.0.4280.141,,,2021-03-08 19:07:06,2021-03-08 19:07:07,1.383s,PASSED
